"Sign In","Entrar"
"Search entire store here...","Digite aqui o que você procura"
"Get %1 off your first order. Use coupon %2", "Ganhe %1 de desconto no seu primeiro pedido. Utilize o cupom %2"
"What's New", "Novidades"
"Women", "Mulheres"
"Men", "Homens"
"Tops", "Superiores"
"Bottoms", "Inferiores"
"Sale", "Venda"
"Buy", "Comprar"
"Add to Cart", "Comprar"
"Training", "Treino"
"Register", "Cadastrar"
"Gear", "Acessórios"
"Bags", "Mochilas"
"Watches", "Relógios"
"%1 products found", "%1 produtos encontrados" 
"Now Shopping by", "Filtrando por"
"What should I do?", "O que devo fazer?"
"Check the terms you typed.", "Verifique os termos digitados."
"Use synonyms for the desired term.", "Use sinônimos para o termo desejado."
"Try using a single word.", "Tente utilizar uma única palavra."
"Use generic search terms.", "Utilize termos genéricos na busca."
"I Understood.", "Entendi."
"Shopping Options","Filtros"
"Enter your name", "Digite seu nome"
"We found no results for %1", "Não encontramos resultados para %1"
"Register in our %1newsletter%2", "Cadastre-se na nossa %1newsletter%2"
"Fitness Equipment", "Equipamento Fitness"
"I agree with the %1Privacy Policy%2", "Estou de acordo com a %1Política de Privacidade%2"
